  Event #1  | Targets: ['P1_B2016']    | Top-3: ['P4_ST_TT01', 'P4_ST_PT01', 'P1_FT03Z'] | [Miss]
  Event #32 | Targets: ['P1_FCV03D', 'P2_VTR01'] | Top-3: ['P4_ST_TT01', 'P4_ST_PT01', 'P1_FT03Z'] | [Topology] Linkage inferred -> P1_FT03Z
  Event #33 | Targets: ['P1_LCV01D', 'P1_LIT01', 'P2_AutoSD'] | Top-3: ['P4_ST_TT01', 'P4_ST_PT01', 'P1_FT03Z'] | [Miss]
  Event #34 | Targets: ['P1_PCV01D', 'P1_B3004', 'P1_LIT01'] | Top-3: ['P4_ST_TT01', 'P4_ST_PT01', 'P1_FT03Z'] | [Miss]
  Event #35 | Targets: ['P1_B3005', 'P1_FT03', 'P2_LCV01D'] | Top-3: ['P4_ST_TT01', 'P4_ST_PT01', 'P1_FT03Z'] | [Topology] Linkage inferred -> P1_FT03Z
  Event #36 | Targets: ['P1_B3004', 'P1_LIT01', 'P2_LCV01D'] | Top-3: ['P4_ST_TT01', 'P4_ST_PT01', 'P1_FT03Z'] | [Miss]
  Event #37 | Targets: ['P2_SCO', 'P2_SIT01', 'P1_LCV01D', 'P1_LIT01'] | Top-3: ['P4_ST_TT01', 'P4_ST_PT01', 'P1_FT03Z'] | [Miss]
  Event #38 | Targets: ['P2_AutoSD', 'P2_LCV01D'] | Top-3: ['P4_ST_TT01', 'P4_ST_PT01', 'P1_FT03Z'] | [Miss]
  Event #39 | Targets: ['P1_PCV01D', 'P2_VTR02'] | Top-3: ['P4_ST_TT01', 'P4_ST_PT01', 'P1_FT03Z'] | [Miss]
  Event #40 | Targets: ['P1_FCV03D', 'P1_FT03', 'P2_SCO'] | Top-3: ['P4_ST_TT01', 'P4_ST_PT01', 'P1_FT03Z'] | [Topology] Linkage inferred -> P1_FT03Z
  Event #41 | Targets: ['P1_B3004', 'P1_LIT01', 'P2_SCO'] | Top-3: ['P4_ST_TT01', 'P4_ST_PT01', 'P1_FT03Z'] | [Miss]
  Event #42 | Targets: ['P1_FCV03D', 'P2_LCV01D'] | Top-3: ['P4_ST_TT01', 'P4_ST_PT01', 'P1_FT03Z'] | [Topology] Linkage inferred -> P1_FT03Z
  Event #43 | Targets: ['P1_B3004', 'P2_AutoSD'] | Top-3: ['P4_ST_TT01', 'P4_ST_PT01', 'P1_FT03Z'] | [Miss]
  Event #44 | Targets: ['P2_SCO', 'P2_SIT01', 'P2_LCV01D'] | Top-3: ['P4_ST_TT01', 'P4_ST_PT01', 'P1_FT03Z'] | [Miss]
  Event #45 | Targets: ['P2_AutoSD', 'P2_VTR01'] | Top-3: ['P4_ST_TT01', 'P4_ST_PT01', 'P1_FT03Z'] | [Miss]
  Event #46 | Targets: ['P1_FCV03D', 'P1_LCV01D'] | Top-3: ['P4_ST_TT01', 'P4_ST_PT01', 'P1_FT03Z'] | [Topology] Linkage inferred -> P1_FT03Z
  Event #47 | Targets: ['P1_B2016', 'P1_PCV01D'] | Top-3: ['P4_ST_TT01', 'P4_ST_PT01', 'P1_FT03Z'] | [Miss]
  Event #48 | Targets: ['P1_B3004', 'P1_LCV01D', 'P1_LIT01'] | Top-3: ['P4_ST_TT01', 'P4_ST_PT01', 'P1_FT03Z'] | [Miss]
  Event #49 | Targets: ['P2_RTR', 'P2_LCV01D'] | Top-3: ['P4_ST_TT01', 'P4_ST_PT01', 'P1_FT03Z'] | [Miss]
  Event #50 | Targets: ['P1_B3005', 'P1_FCV03D', 'P1_FT03'] | Top-3: ['P4_ST_TT01', 'P4_ST_PT01', 'P1_FT03Z'] | [Topology] Linkage inferred -> P1_FT03Z
